city,N,P,K,Temperature,Humidity,pH,Rainfall,Fertilizer Name
Pune,83,29,24,34.301581096349445,75.1458883477673,6.192059001431182,793.342570252122,DAP
Pune,79,81,29,25.560630945336104,66.18188973913209,7.18472233384346,1017.9420669726401,Super Powder
Latur,42,38,46,28.288741124377033,51.67896052144684,6.440643089956312,491.9509768668818,DAP
Latur,98,51,19,23.283074786158597,57.06706059841963,6.123351525367738,1048.9571567832816,DAP
Latur,71,21,43,31.307018969391947,63.42907322225417,6.145728193830137,625.421743080713,Super Powder
Latur,85,62,15,20.803386257178204,65.60164946472553,6.682125664815477,1186.7971299713265,DAP
Pune,74,33,56,25.820088479826694,76.91907113919987,7.083836010580895,972.22866148237,DAP
Latur,66,64,34,34.29087233143933,64.20661206494238,6.021952406643314,1199.4356003269022,DAP
Pune,94,79,67,23.61866449608447,79.69109163962136,6.9064730683524385,899.2687053483187,DAP
Latur,50,69,59,30.292886748837212,53.2867805416174,6.209146791953821,481.2457438581279,DAP
Pune,91,42,66,29.403842811813455,70.09043602147757,7.237906413991409,993.5860719636456,DAP
Latur,63,87,60,34.56512677639958,75.04400267733915,7.077043313093224,1182.5300346738768,DAP
Latur,53,45,17,33.69613734510649,52.893580089719585,6.523879340234264,1148.4016203099845,Super Powder
Latur,92,60,55,24.54272909277487,69.80063217931207,6.014225192378114,610.9389804888959,DAP
Pune,82,54,60,21.76139800817514,60.2552232334005,6.87265859682991,794.9787477068296,DAP
Pune,69,31,53,20.539793702436985,76.99377858905365,6.861181421233345,714.3689378268074,Urea
Pune,61,38,53,27.74882724556383,50.77858388294071,6.215153105207628,1174.4352319055413,DAP
Latur,77,21,59,24.61661613160022,58.9790148055042,7.103627338011357,707.7691343043439,DAP
Latur,70,52,48,28.01803501501424,51.57888707603889,7.49945419377126,1125.9623384929823,DAP
Pune,86,25,24,33.65270410056825,56.34145056517111,6.259537508169891,955.6171885950059,Super Powder
Latur,89,88,44,23.1579915575571,75.8911986567008,7.2163800878010465,627.078537322131,Urea
Latur,93,64,59,24.639924538158358,60.70130162823379,7.360558510135731,661.5805690568051,NPK FERT
Pune,100,45,68,23.618907708438844,72.29524114339308,6.913949602493354,592.5509953122584,NPK FERT
Pune,90,74,16,22.564708268026592,75.51999916590955,7.108232915310703,615.8252923693476,Super Powder
Latur,50,33,22,29.552124339369314,79.03861403310766,6.090292828706175,860.9474214667101,DAP
Pune,77,78,57,21.51979640155269,73.61674839845317,7.118202617625892,730.1742165993569,DAP
Latur,76,27,27,25.112641286138743,79.54548620077924,7.283113186208733,546.7957714096792,Urea
Latur,58,28,53,34.866319978783224,56.012428625292216,6.4654383011709715,850.2960749371153,DAP
Latur,72,26,70,25.471014146817062,67.80722665771412,6.274760353887506,816.4137772321105,DAP
Pune,71,25,57,24.92128111157359,50.776140122155574,7.222077977076357,790.204516426635,Urea
Pune,84,76,58,21.683741437621503,50.2191294224023,6.6619916977839235,725.7651428385373,DAP
Pune,55,43,28,29.12763182480619,74.17891963262711,6.322476129884462,912.9884038328232,DAP
Latur,76,46,28,30.7273432727119,70.08383038834616,6.3277989558376975,428.1588932927016,DAP
Latur,51,20,50,31.837979377416147,71.59507951217279,7.468584162023665,839.774067122644,DAP
Latur,90,29,26,20.68658263669211,67.25162203054992,6.320842859645697,654.3320044900025,DAP
Pune,54,32,34,24.17243779066132,66.14789629891868,6.862967634876679,657.464410012273,DAP
Pune,67,42,54,24.278590013352687,53.39802044733806,6.276974236905283,612.9544958549747,Urea
Latur,84,71,45,28.62948179560596,61.78289127438892,6.147575051664707,762.8132148728962,DAP
Latur,59,72,28,28.636429150855847,58.96677329467468,6.377514239555986,925.6465705675921,DAP
Pune,62,45,50,24.70226839478008,69.29696207231412,6.955873845304624,983.520116410976,DAP
Pune,61,27,41,28.689433844385732,50.3061088852406,6.33103933417416,599.3647688346322,Super Powder
Latur,93,61,69,24.973528869514848,66.52568510814399,7.031709483469392,1106.9784149975121,DAP
Pune,65,51,55,23.18620107136489,74.27302717424234,6.266793616318571,540.2662131891962,DAP
Latur,43,86,53,31.695894829526388,79.82342612654385,6.991410862475414,936.0656332821357,DAP
Pune,83,32,38,30.798251785928574,71.79320032797423,6.765602740856689,1186.2899360862682,Super Powder
Latur,65,53,60,23.49130366212541,65.97087755470429,7.104095955105036,467.1733738328026,DAP
Pune,57,70,50,22.310231799553023,76.54805039615911,6.426059308814059,1167.8725980672903,Urea
Latur,69,81,16,20.6196811525518,61.59478465528691,7.0962466279649625,856.3806501314434,DAP
Latur,77,27,38,30.836358214558803,60.088064544242904,7.073750754388728,736.6118087765951,DAP
Pune,98,61,69,21.501766279466352,71.0331516655888,7.360188278164798,963.0684721171561,DAP
Pune,56,53,60,20.511790882490843,65.10003488723883,6.216385201073652,955.4548028899925,DAP
