city,district_name,N,P,K,Temperature,Humidity,pH,Rainfall,Average SoilMoisture Volume,Aggregate Soilmoisture Percentage,Volume Soilmoisture percentage (at 15cm),Fertility Rate,crop
Pune,Pune,75,53,54,27.55126218,62.55270345,6.227685312,800.3620525,16.64655703,25.13907079,16.85404381,54,ज्वारी
Pune,Pune,62,59,35,28.63515088,61.90958066,6.916273723,521.6513488,12.71088512,27.49348078,21.95973881,90,cotton
Pune,Pune,84,46,30,30.06673108,57.98430177,6.850427379,544.7505418,16.5206757,36.25849564,6.043363893,87,ज्वारी
Pune,Pune,73,34,48,25.5971607,73.88628195,7.088967436,609.5917276,13.51870503,25.13495072,8.850671727,85,ज्वारी
Pune,Pune,49,62,25,34.48749403,54.85196312,7.089069619,712.1871041,28.90294755,39.1335313,10.61404233,7,ज्वारी
Pune,Pune,60,30,25,33.59434375,73.81580632,6.108731741,665.1968659,14.33175608,29.29212862,20.28498476,10,बाजरी
Pune,Pune,61,49,42,29.53745087,65.77885568,6.329888366,763.3592866,23.64973968,30.40457194,22.44492002,24,गहू 
Pune,Pune,64,34,51,28.53355366,70.37570867,6.833705755,602.5221055,15.64231851,23.85948894,5.004428087,88,बाजरी
Pune,Pune,46,54,24,29.54569572,51.40315818,6.068023614,740.2170527,17.92282841,21.96067705,13.17365196,23,बाजरी
Pune,Pune,57,42,26,25.213501,64.6385665,7.408119298,618.5905461,28.59237647,34.59543264,10.47035899,41,बाजरी
Pune,Pune,89,63,59,34.39689132,74.57668176,7.168286212,578.4436423,18.28146923,28.62534526,18.3754695,96,बाजरी
Pune,Pune,73,32,57,25.69520666,65.49581203,7.036165484,864.4774058,11.81686896,30.4917984,14.0933163,37,बाजरी
Pune,Pune,47,43,36,29.20242966,72.9879866,6.44567897,635.3181504,20.21059196,37.09817558,12.15367458,89,ज्वारी
Pune,Pune,69,72,58,26.94516325,54.27309242,6.078070809,693.7999309,23.54460441,36.84479634,17.37737612,56,बाजरी
Pune,Pune,52,80,41,26.36467176,52.53673372,6.025381952,657.3620531,16.3907174,34.04965949,16.1683297,81,cabbage
Pune,Pune,87,76,29,27.19941058,54.4449804,6.877266251,632.5343072,23.16637051,38.60200874,17.38328887,13,बाजरी
Pune,Pune,54,76,58,29.25311978,61.48442201,7.172361691,812.2342059,19.60930852,37.87581087,6.71708372,87,गहू 
Pune,Pune,88,52,38,27.60970639,72.43601349,6.333506838,542.0958402,16.99427533,39.57205321,12.22296368,28,बाजरी
Pune,Pune,80,78,42,27.73342724,65.38996678,6.548754854,761.6017672,17.97269624,34.00687127,15.94533539,53,ज्वारी
Pune,Pune,59,49,27,31.33712677,53.40863034,6.996151053,774.5946766,13.83335372,22.88644563,11.27017755,88,cabbage
Pune,Pune,49,45,48,25.2225886,51.26785558,6.464608584,831.129739,24.54518634,25.90320464,7.418254884,79,बाजरी
Pune,Pune,54,34,25,26.18195028,59.186277,6.759527128,633.206831,22.53218953,39.54961925,7.702489345,32,ज्वारी
Pune,Pune,71,32,56,25.76516704,51.06614831,6.757580027,532.7366966,17.50709019,24.00855897,18.66996025,31,बाजरी
Pune,Pune,42,67,60,30.01281733,64.29789877,7.236480067,538.8774513,26.56632444,38.56504162,7.342065384,57,ज्वारी
Pune,Pune,60,74,23,29.16796184,57.28635263,7.024383824,897.0594735,13.95733776,22.37816804,15.12931359,13,बाजरी
Pune,Pune,83,56,38,26.87344916,68.19303054,6.684342435,753.5853983,22.79990578,18.02858021,6.30074039,4,बाजरी
Pune,Pune,79,39,53,26.61368013,60.37664554,6.477971081,746.9490887,16.03831514,17.56218842,24.38364335,55,ज्वारी
Pune,Pune,70,48,58,30.62848662,65.08105957,6.045048662,869.8462663,24.86804835,35.70439657,6.657113788,38,ज्वारी
Pune,Pune,72,61,25,26.32778595,54.36500938,6.094460506,844.4002511,13.29895265,36.87651689,20.04567336,25,ज्वारी
Pune,Pune,41,52,20,31.38311399,54.95658942,6.359299491,690.9062529,23.29653249,23.74918809,23.28435074,1,cotton
Pune,Pune,87,68,41,25.34930657,53.63901208,6.405472222,684.3980339,10.8596623,35.75997266,18.07737078,38,ज्वारी
Pune,Pune,45,74,27,27.96424784,61.92189704,6.137810816,745.5672146,16.18900252,21.18959042,19.57496529,57,बाजरी
Pune,Pune,80,66,23,26.43876498,60.06186688,7.059100708,688.6133128,17.37945605,25.34273245,23.49314435,61,ज्वारी
Pune,Pune,44,59,33,34.56010533,69.13744445,7.148606891,579.9003512,18.09108785,18.37580746,14.03898912,16,ज्वारी
Pune,Pune,54,57,60,32.16246103,58.66808471,6.899769627,549.3562485,15.15394446,27.60069744,7.927091758,81,बाजरी
Pune,Pune,72,52,56,31.10212595,69.42815666,7.489684689,598.8413106,14.00693861,25.97974687,7.069427905,97,बाजरी
Pune,Pune,87,56,21,34.10712138,72.90235695,7.497320284,632.5730114,11.98713608,23.66296552,7.062906287,46,बाजरी
Pune,Pune,77,39,43,26.20353026,59.34798929,6.588501543,799.1388631,17.60935123,15.63399761,8.379452853,88,ज्वारी
Pune,Pune,69,77,30,26.96462673,66.2170851,6.794604376,590.4809601,20.79877378,23.539392,16.56683147,19,बाजरी
Pune,Pune,66,33,45,27.83293245,69.71940854,6.708930376,690.3972211,12.42263986,30.67824487,15.39385598,20,बाजरी
Pune,Pune,61,36,55,25.65232058,71.39614988,7.435374605,890.7098345,12.00464279,30.13337172,13.71821881,30,बाजरी
Pune,Pune,44,48,52,28.63918794,50.72630224,6.903477509,890.9275876,16.76942617,38.83246875,13.801085,5,बाजरी
Pune,Pune,51,76,51,33.17439409,55.89563356,6.846698328,876.2470377,29.07134905,29.53125939,14.20247379,35,बाजरी
Pune,Pune,68,45,37,29.91145174,59.65029551,6.085458611,753.7034366,14.63919672,31.47620529,15.68989366,68,बाजरी
Pune,Pune,48,68,39,25.69418684,54.82157965,6.200911269,613.6741433,10.44016064,29.01492891,23.98191555,7,बाजरी
Pune,Pune,84,52,34,25.32045347,65.38366814,7.16319932,565.1161577,11.12212767,37.55322756,8.374931129,6,बाजरी
Pune,Pune,89,30,58,33.70242989,58.13888687,6.244252234,844.2501643,24.41148599,39.79031031,9.65343744,44,ज्वारी
Pune,Pune,60,66,35,30.06750339,74.55457237,6.844412522,882.9885175,13.51224391,36.84874734,19.16805188,34,cotton
Pune,Pune,46,48,35,25.55652499,73.95927527,6.450430595,583.8472509,26.34555921,19.98132637,19.06122906,42,बाजरी
Pune,Pune,63,42,57,31.12770876,65.9817419,7.356517749,895.3753996,11.83191781,17.12369696,9.566275631,97,बाजरी
Pune,Pune,43,58,33,25.93902763,68.08241721,7.028252511,667.1309054,12.83255436,25.73547915,15.29786044,35,ज्वारी
Pune,Pune,61,49,27,28.28959989,57.27702323,7.495504815,653.9580621,18.74310033,20.60677614,24.87252155,33,बाजरी
Pune,Pune,71,67,56,30.26950355,64.43092189,7.480370727,730.7722056,19.10725804,27.58922411,11.94017335,98,गहू 
Pune,Pune,47,54,40,32.20374817,65.6802069,7.396413416,538.2374991,17.42847699,34.06942653,24.06985058,86,गहू 
Pune,Pune,78,43,55,31.63540783,53.90985392,6.525358743,897.8646347,18.97907589,36.64212124,8.499941382,77,गहू 
Pune,Pune,76,72,37,26.40164215,68.65753608,6.26504848,531.9763915,25.65004945,20.75882343,11.80520076,36,cotton
Pune,Pune,54,58,48,32.59396964,68.50065871,6.275376996,529.7457759,25.35203489,16.36048413,11.62419212,82,गहू 
Pune,Pune,70,47,58,32.63347269,68.87560562,6.64632005,686.4558254,21.87136709,17.35757894,24.71332184,39,cabbage
Pune,Pune,46,37,53,33.88753079,60.99884622,6.637783792,725.0506278,10.74372414,35.52782313,19.85057578,34,गहू 
Pune,Pune,79,74,41,32.17368392,70.30221301,6.106794311,573.3866805,22.39477042,35.47794521,21.28980525,47,बाजरी
Pune,Pune,65,58,43,25.87826121,51.97622051,6.299084092,829.8920899,27.31350309,23.46157808,22.88932168,77,बाजरी
Pune,Pune,72,48,32,34.28385802,62.47590116,6.342577413,596.3519891,11.05289815,38.22590279,19.02990375,30,बाजरी
Pune,Pune,46,32,30,31.39919306,53.6655057,6.063690799,875.7134092,11.01657393,27.48601183,17.40137625,82,बाजरी
Pune,Pune,56,50,32,27.70719317,50.64043382,6.191230428,507.2467139,17.56717427,18.12070889,10.03935468,6,cotton
Pune,Pune,85,37,25,29.16919167,65.44516772,6.003741894,534.8995956,27.69695006,33.48300156,20.9260764,65,बाजरी
Pune,Pune,79,57,49,32.39265846,57.84715396,7.174901211,801.9536263,10.33775324,16.40625664,20.81361421,55,बाजरी
Pune,Pune,86,66,32,26.88534819,61.66315554,6.951691965,590.0996141,27.0240198,34.84582956,23.07503125,64,ज्वारी
Pune,Pune,63,57,35,33.37514571,66.8864145,7.118154671,557.5189696,12.43348499,16.08859326,17.00117286,93,बाजरी
Pune,Pune,53,66,27,32.90627171,71.58246946,6.197349863,638.5960395,18.31795768,33.68872668,24.15787193,4,बाजरी
Pune,Pune,73,35,54,28.22925215,74.92671169,6.83542668,774.8306441,20.63048591,23.71598725,9.601271486,21,गहू 
Pune,Pune,47,33,50,25.99948752,64.50413429,6.838331436,772.2370303,12.3371493,38.17060159,11.80315629,90,बाजरी
Pune,Pune,52,40,29,28.14660806,61.41453109,6.918670476,722.4345946,24.70616284,31.86220876,21.1833994,97,ज्वारी
Pune,Pune,76,47,51,30.44139435,73.45271737,6.319246472,631.3288585,24.80030646,32.40940425,14.90772852,74,cabbage
Pune,Pune,84,65,60,32.44106993,54.0453696,6.032380423,555.1521055,18.17362963,26.34995946,10.68171888,33,ज्वारी
Pune,Pune,58,38,57,27.81759006,56.81542417,6.777564008,601.661498,20.16698963,24.06845018,16.22646511,37,cabbage
Pune,Pune,84,67,58,28.54326298,59.58435007,6.799205413,821.3066357,11.47943126,25.86591457,18.40358322,99,ज्वारी
